product-name,product-image,product-price
Charmnight Womens High Waist Tights Fishnet Stockings Thigh High Pantyhose,https://m.media-amazon.com/images/I/61e5aE3kxZL._AC_UX385_.jpg,null
"Blink Mini – Compact indoor plug-in smart security camera, 1080 HD video, night vision, motion detection, two-way audio, Works with Alexa – 1 camera",https://m.media-amazon.com/images/I/61LrV6Id5gL._SY355_.jpg,$34.99 
Crocs Unisex-Adult Men's and Women's Classic Clog,null,$43.40 
"Wyze Cam Spotlight, Wyze Cam v3 Security Camera with Spotlight Kit, 1080p HD Security Camera with Two-Way Audio and Siren, IP65 Weatherproof, Compatible with Alexa and Google Assistant",https://m.media-amazon.com/images/I/61E8RWSXtoS._AC_SY450_.jpg,$48.11 
"Microsoft 365 Personal | 12-Month Subscription, 1 person| Premium Office Apps | 1TB OneDrive cloud storage | PC/Mac Download",https://m.media-amazon.com/images/I/71PW7riMs9L._AC_SX385_.jpg,null
Rescue Monthly Whole Home Data and Image Recovery [Subscription],https://m.media-amazon.com/images/I/61W6+nHpa7L._AC_SY550_.jpg,null
$10 Xbox Gift Card [Digital Code],null,$10.00 
"Scotch Heavy Duty Packaging Tape, 1.88"" x 22.2 yd, Designed for Packing, Shipping and Mailing, Strong Seal on All Box Types, 1.5"" Core, Clear, 6 Rolls with Dispenser (142-6)",null,$13.99 
"McAfee Total Protection 2021, 3 Device, Antivirus Internet Security Software, VPN, Dark Web monitoring, 1 Year with Auto Renewal - Download Code",null,null
Roblox Gift Card - 800 Robux [Includes Exclusive Virtual Item] [Online Game Code],https://m.media-amazon.com/images/I/71SfFWK2AUL._SY445_.jpg,$10.00 
"Scotch Thermal Laminator and Pouch Bundle, 2 Roller System, Laminate up to 9"" Wide (TL901X) with Scotch Laminating Pouches, 100-Pack (TP3854-100)",null,null
Norton 360 for Amazon 2021 – Antivirus software for up to 3 Devices with Auto Renewal,null,null
$10 Nintendo eShop Gift Card [Digital Code],https://m.media-amazon.com/images/I/71g8qy0R8zL._SY445_.jpg,$10.00 
"Adobe Acrobat Professional DC | Create, edit and sign PDF documents | 1-month Subscription with auto-renewal, PC/Mac",https://m.media-amazon.com/images/I/414BXP8VbnL._AC_.jpg,null
"EZlifego Double Sided Tape Heavy Duty (9.85FT), Multipurpose Removable Mounting Tape Adhesive Grip,Reusable Strong Sticky Wall Tape Strips Transparent Tape Poster Carpet Tape for Paste Items,Household",null,$11.99 
"Original HP 63XL Black High-yield Ink Cartridge | Works with HP DeskJet 1112, 2130, 3630 Series; HP ENVY 4510, 4520 Series; HP OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | F6U64AN",null,$39.89 
$10 PlayStation Store Gift Card [Digital Code],null,$10.00 
Microsoft Office Home & Student 2021 | One-time purchase for 1 PC or Mac| Download,https://m.media-amazon.com/images/I/610LdTvXyFL._AC_SX385_.jpg,$124.99 
Roblox Gift Card - 2000 Robux [Includes Exclusive Virtual Item] [Online Game Code],https://m.media-amazon.com/images/I/71QMkXmLVCL._SY445_.jpg,$25.00 
"WYZE Cam Outdoor Starter Bundle (Includes Base Station and 1 Camera), 1080p HD Indoor/Outdoor Wire-Free Smart Home Camera with Night Vision, 2-Way Audio, Works with Alexa & Google Assistant, white",https://m.media-amazon.com/images/I/41SyuiCk7JL._AC_SY355_.jpg,$58.87 
"Hammermill Printer Paper, 20 Lb Copy Paper, 11 x 17 - 1 Ream (500 Sheets) - 92 Bright, Made in the USA",https://m.media-amazon.com/images/I/815KcbzHbpS._AC_SY355_.jpg,$15.98 
Mario Party Superstars - Nintendo Switch,https://m.media-amazon.com/images/I/81N4N3CyByL._SY445_.jpg,null
"Ring Stick Up Cam Battery HD security camera with custom privacy controls, Simple setup, Works with Alexa - Black",https://m.media-amazon.com/images/I/51JfGuZ80bL._SY355_.jpg,$99.99 
